station_UID,station_name,road_ID,road_name,M_km,lat_LKS94,long_LKS94,lat_WGS84,long_WGS84
1166,Vilnius,A1,Vilnius–Kaunas–Klaipėda,10.04,576155,6056858,54.642475,25.17984
1164,Didžiulio ež.,A1,Vilnius–Kaunas–Klaipėda,19.42,568032,6061425,54.684667,25.055083
308,Vievis,A1,Vilnius–Kaunas–Klaipėda,32.8,557577,6069156,54.755416,24.894482
1208,Bačkonys,A1,Vilnius–Kaunas–Klaipėda,58.67,532423,6074214,54.803112,24.504308
1181,Rumšiškės,A1,Vilnius–Kaunas–Klaipėda,78.38,514397,6082047,54.874336,24.224325
310,IX fortas,A1,Vilnius–Kaunas–Klaipėda,101.96,492514,6089300,54.939649,23.883172
1206,Babtai,A1,Vilnius–Kaunas–Klaipėda,122.78,485552,6108365,55.110786,23.773566
1183,Gynėvė,A1,Vilnius–Kaunas–Klaipėda,142.28,471226,6121317,55.226524,23.547722
363,Raščiai,A1,Vilnius–Kaunas–Klaipėda,156.58,458274,6127251,55.278908,23.343273
361,Kalnujai,A1,Vilnius–Kaunas–Klaipėda,170.6,445709,6132838,55.327874,23.144454
362,Viduklė,A1,Vilnius–Kaunas–Klaipėda,188.6,429292,6140131,55.391297,22.883953
1185,Kryžkalnis,A1,Vilnius–Kaunas–Klaipėda,204.47,416376,6148807,55.467198,22.677552
1209,AMV,A1,Vilnius–Kaunas–Klaipėda,219.55,402024,6153143,55.503474,22.449139
1201,Kvėdarna,A1,Vilnius–Kaunas–Klaipėda,242,382541,6163342,55.590756,22.136582
367,Endriejavas,A1,Vilnius–Kaunas–Klaipėda,272.2,355114,6174689,55.685231,21.695845
1204,Gargždai,A1,Vilnius–Kaunas–Klaipėda,290.73,337728,6179978,55.727203,21.416516
1187,Klaipėda,A1,Vilnius–Kaunas–Klaipėda,303.6,325411,6177833,55.703681,21.222047
1101,Bukiškės,A2,Vilnius–Panevėžys,11.76,576835,6070980,54.769232,25.194087
1132,Maišiagala,A2,Vilnius–Panevėžys,25.96,568855,6082639,54.875123,25.07287
1134,Širvintos,A2,Vilnius–Panevėžys,52.18,556144,6104918,55.076859,24.879202
1135,Ukmergė,A2,Vilnius–Panevėžys,74.64,551542,6126336,55.26976,24.811039
306,Šilai,A2,Vilnius–Panevėžys,103.23,539207,6151628,55.498114,24.620506
3821,Dubos,A2,Vilnius–Panevėžys,125.08,524890,6167538,55.641975,24.395373
1168,Šilagalys,A2,Vilnius–Panevėžys,130.85,523487,6172408,55.685794,24.373491
1211,Medininkai,A3,Vilnius–Minskas,32.47,608660,6047140,54.549244,25.679623
2481,Gudeliai,A4,Vilnius–Varėna–Gardinas,23.21,567280,6048297,54.566829,25.040409
4001,Paluknys,A4,Vilnius–Varėna–Gardinas,33.27,564004,6039758,54.490532,24.987893
1042,Pirčiupiai,A4,Vilnius–Varėna–Gardinas,44.56,562387,6028735,54.391702,24.96063
1063,Druskininkai,A4,Vilnius–Varėna–Gardinas,121.35,505161,5988527,54.034195,24.078793
1262,Vilijampolė,A5,Kaunas–Marijampolė–Suvalkai,4.82,489335,6085933,54.909344,23.83369
413,Garliava,A5,Kaunas–Marijampolė–Suvalkai,17.5,490343,6074602,54.807553,23.849783
412,Skriaudžiai,A5,Kaunas–Marijampolė–Suvalkai,33.93,477641,6064398,54.715472,23.653
1071,Puskelniai,A5,Kaunas–Marijampolė–Suvalkai,52.93,462477,6054195,54.6229,23.418966
1004,Kalvarija,A5,Kaunas–Marijampolė–Suvalkai,94.46,444364,6021005,54.323039,23.144769
1241,Pageležiai,A6,Kaunas–Zarasai–Daugpilis,50.24,532613,6114403,55.164178,24.511835
406,Virinta,A6,Kaunas–Zarasai–Daugpilis,97.37,570076,6141618,55.404751,25.106458
1125,Daugailiai,A6,Kaunas–Zarasai–Daugpilis,154.85,619871,6165948,55.613569,25.902817
1061,Kybartai,A7,Marijampolė–Kybartai–Kaliningradas,39.1,421743,6055859,54.633177,22.787893
411,Truskava,A8,Panevėžys–Aristava–Sitkūnai,35.18,514842,6144223,55.432935,24.234517
1143,Šėta,A8,Panevėžys–Aristava–Sitkūnai,53.28,505177,6129274,55.298825,24.081535
410,Vandžiogala,A8,Panevėžys–Aristava–Sitkūnai,80.24,494150,6105400,55.084331,23.908375
401,Smilgiai,A9,Panevėžys–Šiauliai,25.12,499983,6184871,55.798324,23.999735
1001,Šeduva,A9,Panevėžys–Šiauliai,42.77,483628,6181266,55.765661,23.739123
125,Šniūraičiai,A9,Panevėžys–Šiauliai,65.35,467452,6193810,55.877531,23.479875
402,Pumpėnai,A10,Panevėžys–Pasvalys–Ryga,22.61,520918,6198756,55.922603,24.334672
1129,Saločiai,A10,Panevėžys–Pasvalys–Ryga,59.8,526253,6232930,56.229325,24.42338
1006,Kužiai,A11,Šiauliai–Palanga,13.3,445504,6205550,55.980996,23.126808
2561,Pakumulšiai,A11,Šiauliai–Palanga,31.88,427534,6207762,55.998496,22.838348
2902,Pastruikiškės,A11,Šiauliai–Palanga,40.36,419115,6208749,56.006012,22.703129
414,Tryškių sankryža,A11,Šiauliai–Palanga,47.48,412049,6208282,56.000571,22.590011
1066,Telšiai,A11,Šiauliai–Palanga,71.18,388457,6209148,56.003445,22.211632
415,Truikiai,A11,Šiauliai–Palanga,94.12,367259,6202337,55.936908,21.875352
383,Kartena,A11,Šiauliai–Palanga,120.7,341925,6201232,55.919334,21.470921
1008,Kalviai,A12,Ryga–Šiauliai–Tauragė–Kaliningradas,1.24,479481,6246836,56.354513,23.668034
1214,Joniškis,A12,Ryga–Šiauliai–Tauragė–Kaliningradas,19,473921,6230149,56.204355,23.579727
316,Meškuičiai,A12,Ryga–Šiauliai–Tauragė–Kaliningradas,35.48,466014,6215701,56.074076,23.454145
1012,Bubiai,A12,Ryga–Šiauliai–Tauragė–Kaliningradas,68.08,445866,6190891,55.849369,23.135543
318,Raudsparnė,A12,Ryga–Šiauliai–Tauragė–Kaliningradas,81.95,437989,6179720,55.74808,23.012323
1901,Kelmė,A12,Ryga–Šiauliai–Tauragė–Kaliningradas,94.5,432529,6168723,55.648578,22.928078
1189,Jauniškė,A12,Ryga–Šiauliai–Tauragė–Kaliningradas,111.68,422298,6155063,55.524366,22.769419
390,Antegluonis,A12,Ryga–Šiauliai–Tauragė–Kaliningradas,139.64,402036,6135950,55.349074,22.455374
1015,Panemunė,A12,Ryga–Šiauliai–Tauragė–Kaliningradas,182.87,368384,6110174,55.10979,21.937121
382,Nemirseta,A13,Klaipėda–Liepoja,19.81,317939,6196168,55.865438,21.091074
981,Šventoji,A13,Klaipėda–Liepoja,39.25,320486,6215083,56.036097,21.119131
2582,Giedraičiai,A14,Vilnius–Utena,47.65,586763,6107608,55.096614,25.359392
1074,Čiulėnai,A14,Vilnius–Utena,71.53,595801,6129240,55.289231,25.508258
2903,Pyšna,A15,Vilnius–Lyda,14,585086,6048851,54.569119,25.315842
386,Tartokas,A15,Vilnius–Lyda,46.25,588534,6018662,54.297344,25.360134
2501,Strėva,A16,Vilnius–Prienai–Marijampolė,43.43,545542,6050375,54.587914,24.704604
1163,Aukštadvaris,A16,Vilnius–Prienai–Marijampolė,62.05,528266,6048920,54.576105,24.437202
403,Igliauka,A16,Vilnius–Prienai–Marijampolė,118,477299,6047137,54.560368,23.649031
5210,Bernatoniai,A17,Panevėžio aplinkkelis,15.68,518812,6181887,55.771157,24.299812
4021,Galvė,A19,Vilniaus pietinis aplinkkelis,2.78,574393,6055749,54.632778,25.152262
1104,Pabradė,102,Vilnius–Švenčionys–Zarasai,41.46,607754,6092503,54.95685,25.682436
1401,Zalavas,102,Vilnius–Švenčionys–Zarasai,60.46,625349,6094571,54.971308,25.957889
407,Dūkštas,102,Vilnius–Švenčionys–Zarasai,139.29,647335,6159011,55.543771,26.334702
385,Pamiškiai,103,Vilnius–Polockas,27.06,606827,6065008,54.710115,25.657815
1068,Dieveniškės,104,"Šalčininkai–Dieveniškės–Krakūnai ",25.99,605899,6008234,54.200378,25.623108
387,Eišiškės,105,Pirčiupiai–Eišiškės,27.46,566094,6002816,54.158376,25.011978
3981,Verkšionys,108,Vievis–Maišiagala–Nemenčinė,8.45,559061,6076008,54.816803,24.918939
1122,Kaltanėnai,111,Utena–Kaltanėnai–Švenčionys,43.1,626581,6126264,55.255569,25.991227
1522,Želva,115,Ukmergė–Molėtai,20.3,567735,6121321,55.222754,25.064595
409,Antazavė,117,Zarasai–Bradesiai–Obeliai,22.63,621408,6187939,55.810635,25.936939
3941,Žemieji Svirnai,120,Radiškis–Anykščiai–Rokiškis,4.36,556831,6137834,55.372474,24.896597
408,Svėdasai,120,Radiškis–Anykščiai–Rokiškis,55.2,587805,6174275,55.695191,25.396654
1123,Rokiškis,122,Daugpilis–Rokiškis–Panevėžys,14.7,607266,6203266,55.95161,25.717502
395,Kandrėnai,122,Daugpilis–Rokiškis–Panevėžys,45.7,578402,6192843,55.86357,25.252468
394,Akmeniai,122,Daugpilis–Rokiškis–Panevėžys,83.5,544564,6184156,55.789846,24.710548
1138,Kučgalys,123,Biržai–Pandėlys–Rokiškis,27.3,567654,6216165,56.074668,25.086667
391,Pabezninkai,128,Naujieji Valkininkai–Daugai–Alytus,9.3,536393,6023169,54.344218,24.559728
392,Kampai,129,Antakalnis–Jieznas–Alytus–Merkinė,68.57,509900,6014694,54.269262,24.151987
1140,Seirijai,132,Alytus–Seirijai–Lazdijai,15.56,493344,6017500,54.294528,23.897768
987,Seredžius,141,Kaunas–Jurbarkas–Šilutė–Klaipėda,43.26,462135,6104907,55.078485,23.407032
